DOY	Etr	ETP	NDVI	Rain	T_5cm	T_10cm	T_20cm	T_30cm_2	T_40cm	T_50cm	SWUpper_Avg	SWLower_Avg	LWUpperCo_Avg	LWLowerCo_Avg	Trad_apo	Ta_2m	Ta_3m	RH_2M	RH_3M	WS_ms_2M_Avg	WS_ms_3M_Avg	IAFactivo	Gcorregido					
284	1.622472849	4.30	0.75974352	0.000	290.619	289.523	288.181	287.195	13.445	12.913	276.1815694	56.83914583	328.55	403.4256944	290.72	289.58	289.75	87.5	86.4	1.807	2.168	4.14	-14.59					
285	1.550754425	1.12	0.752168802	0.000	288.288	288.212	287.975	287.616	14.068	13.467	98.49261806	21.93296528	346.8090278	378.7541667	286.06	285.43	285.60	72.83	70.35	4.291	5.114	4.08	2.42					
286	0.893013226	3.98	0.757804957	0.000	287.594	287.567	287.457	287.337	14.020	13.625	303.4740139	65.30301389	275.0986111	369.0458333	284.80	282.64	282.67	83.5	81.7	2.635	3.391	4.10	2.75					
287	1.032461034	3.37	0.760517254	0.000	286.465	286.563	286.713	286.872	13.777	13.564	287.1802917	58.96118056	288.1173611	358.1451389	282.99	279.63	279.56	69.5	68.78	3.34	3.827	3.82	0.35					
288	0.767490187	2.19	0.757160407	0.000	286.047	286.181	286.385	286.592	13.539	13.415	144.0198403	29.82175694	331.0319444	358.9722222	282.74	280.48	280.44	89.6	89	3.296	3.76	3.96	3.50					
289	0.44808612	2.13	0.753046526	0.000	286.959	286.656	286.431	286.440	13.356	13.267	126.870375	26.66785417	349.1506944	377.08125	285.79	284.69	284.72	92	91.5	4.279	4.86	4.16	-4.19					
290	0	0.38	0.754438348	45.300	286.747	286.796	286.698	286.643	13.441	13.273	36.16292361	7.267513889	367.9784722	379.1902778	285.82	285.50	285.62	92.5	91.1	3.667	4.623	4.26	0.02					
291	0	3.46	0.755373347	0.000	287.090	286.876	286.619	286.564	13.422	13.291	303.2224792	61.58839583	296.2576389	381.0729167	286.30	285.96	286.10	92.6	90.1	1.852	2.514	4.26	-3.05					
292	6.646877732	4.12	0.753590311	0.000	287.729	287.205	286.744	286.618	13.450	13.303	323.9222917	64.43673611	288.3791667	384.6527778	287.38	286.20	286.42	92.2	91.1	1.749	2.127	3.76	-12.04					
293	4.147705754	2.19	0.748216509	0.000	287.593	287.544	287.319	287.099	13.758	13.457	187.4065903	40.55575	327.2444444	373.6930556	285.33	284.12	284.28	93	91.9	1.897	2.391	4.27	3.01					
294	2.424809987	2.50	0.749449176	0.000	287.974	287.763	287.423	287.213	13.914	13.615	201.8161667	40.47240278	336.2715278	382.0868056	286.84	285.88	286.13	88.4	86	1.519	2.014	4.45	-3.12					
295	3.188609621	2.80	0.750959825	0.000	285.959	286.353	286.742	286.972	13.884	13.700	252.1815139	52.22605556	302.6777778	365.0034722	283.78	282.55	282.82	90.6	89.7	5.287	5.982	3.70	7.98					
296	1.35205435	2.05	0.752379933	0.400	285.662	285.893	286.167	286.457	13.510	13.498	186.3697986	39.59318056	323.8854167	368.96875	284.17	283.24	283.38	91.5	90.2	2.516	3.18	4.31	4.65					
297	2.930883005	4.15	0.748615831	0.000	287.574	286.858	286.315	286.295	13.275	13.293	315.610875	60.37350694	316.4986111	385.3972222	287.71	286.07	286.25	92.1	90.3	1.558	2.079	4.03	-15.45					
298	6.050619777	5.37	0.750592717	0.000	289.971	288.868	287.733	287.149	13.693	13.421	327.4182361	64.36540972	331.9979167	405.6833333	291.15	290.37	290.65	82	80.5	0.503	0.127	4.00	-20.62					
299	4.655319227	1.05	0.757996799	3.100	287.958	288.187	288.132	287.854	14.365	13.888	70.7319375	15.24008333	345.6625	380.7381944	286.30	286.53	286.88	87.9	85.4	1.956	2.719	3.96	6.11					
300	0.795046672	4.27	0.75481656	0.000	289.883	289.023	288.134	287.740	14.389	14.060	268.8793333	52.10173611	339.4361111	403.6916667	290.44	290.44	290.73	67.57	65.13	2.034	2.806	3.91	-15.52					
301	0	1.29	0.756623333	10.500	287.396	287.958	288.250	288.163	14.785	14.333	103.4032917	20.46476389	347.2875	373.375	284.89	284.21	284.36	96	95.3	4.388	5.215	3.86	13.04					
302	0	3.81	0.754024899	0.000	289.218	288.442	287.764	287.613	14.458	14.275	327.3261528	56.6469375	329.8361111	392.3388889	288.92	286.89	286.88	89.8	88	1.242	1.799	3.81	-18.37					
303	4.693106924	3.67	0.750936149	0.000	289.655	289.383	288.855	288.363	14.858	14.415	261.0298125	49.08779167	319.8888889	389.8305556	288.39	287.40	287.72	80.4	77.2	1.899	2.566	3.74	-1.35					
304	4.709914122	4.30	0.753320176	0.000	288.438	288.331	288.227	288.186	14.942	14.611	338.094375	64.79175694	282.4875	378.3722222	286.59	285.43	285.73	85.6	82.9	1.5	2.023	3.67	-0.59					
305	3.090401471	1.14	0.749175614	0.000	288.385	288.300	288.217	288.155	14.903	14.613	92.95644444	17.89688194	376.9465278	390.0416667	288.10	287.57	287.72	99.1	98.8	1.623	2.328	3.60	-1.96					
306	2.560068989	4.12	0.742237632	0.000	291.051	290.172	289.131	288.522	15.049	14.682	346.2679236	62.55920833	324.3701389	403.4409722	290.91	289.37	289.50	90.2	88.4	2.598	3.26	3.52	-14.06					
307	3.948363504	4.74	0.743521281	0.000	290.099	289.588	289.095	288.795	15.386	14.953	356.9307569	65.37992361	294.6208333	393.7861111	289.63	287.58	287.73	72.77	70.09	1.518	2.166	3.43	-10.83					
308	3.672420901	4.06	0.73680313	0.000	290.598	290.363	289.834	289.303	15.718	15.172	186.7541736	38.34572917	339.9951389	400.6048611	290.03	289.73	290.00	72.83	69.42	1.503	2.19	3.34	-1.04					
309	2.665172748	5.89	0.732490304	0.000	290.143	289.641	289.235	289.054	15.752	15.355	358.331875	66.06384722	292.7180556	392.6763889	289.37	287.75	288.17	57.44	47.65	1.747	2.56	3.25	-10.77					
310	3.112291432	7.26	0.727656093	0.000	292.161	291.040	290.043	289.439	15.910	15.441	347.5460347	65.64559028	333.1847222	420.5222222	293.79	292.81	293.19	71.77	70.64	4.475	5.755	3.25	-20.17					
311	2.122153476	5.34	0.72229089	0.000	293.155	292.425	291.395	290.438	16.578	15.841	345.0628333	61.440125	307.1111111	407.2875	292.13	289.61	289.71	83.2	80.7	1.759	2.396	3.25	-7.63					
312	1.673993861	2.74	0.716385084	1.500	289.077	289.773	290.237	290.254	16.849	16.249	202.5800556	40.94943056	326.8486111	376.3388889	286.13	284.61	284.79	92	90.4	0.805	1.205	3.25	7.18					
313	0.467229813	3.70	0.709929065	0.000	290.418	290.266	289.948	289.786	16.505	16.150	331.0093194	59.16188889	310.3875	389.64375	288.80	286.39	286.38	89.8	87	1.225	1.712	3.25	-5.84					
314	1.049748548	3.63	0.702913223	0.000	290.523	290.087	289.806	289.691	16.430	16.095	268.5663681	50.40201389	327.3013889	397.1472222	290.06	287.99	288.04	90	89	2.792	3.507	3.25	-9.57					
315	0.629166667	2.74	0.695327949	1.400	292.872	291.826	290.850	290.204	16.647	16.160	212.1126111	38.84348611	368.5298611	407.2270833	291.81	289.69	289.69	95.9	95.2	2.874	3.528	3.25	-11.48					
316	0	0.90	0.687163634	23.500	291.458	291.445	291.153	290.726	17.128	16.499	71.32654167	13.58090972	396.6388889	404.9840278	290.63	290.24	290.37	99.5	99	3.381	4.036	3.25	0.04					
317	0	3.00	0.678410667	0.000	293.456	292.630	291.504	290.830	17.233	16.667	275.3322361	46.99204167	367.1590278	415.6090278	293.09	291.67	291.77	95.9	94.2	0.992	1.416	3.25	-15.59					
318	7.475077409	4.51	0.669059438	0.000	293.102	292.656	291.955	291.339	17.674	16.985	346.4870833	61.21051389	328.2375	412.9875	292.69	291.65	291.88	88.7	85.2	1.402	2.044	3.25	-6.54					
319	7.533878824	4.84	0.659100338	0.000	293.030	292.311	291.696	291.316	17.818	17.217	303.1645347	54.95724306	345.0923611	418.3513889	293.39	292.66	292.97	59.22	58.14	5.283	7.42	3.25	-13.01					
320	4.343234652	4.51	0.648523758	1.500	295.530	294.382	292.963	291.968	18.144	17.417	296.9621667	50.30630556	363.2569444	431.4638889	295.80	294.41	294.59	91.2	89.6	1.285	1.842	3.25	-17.31					
321	3.129374243	4.34	0.637320087	3.600	294.999	294.349	293.432	292.598	18.732	17.882	285.3886806	53.01521528	366.7166667	423.0722222	294.28	292.85	293.08	87.8	83.5	1.307	1.879	3.25	-7.01					
322	1.745628957	5.49	0.625479715	0.000	293.885	293.517	293.021	292.560	18.937	18.188	347.2117986	61.8266875	328.7965278	419.2666667	293.62	292.24	292.44	81.2	78.1	1.333	1.944	3.25	-7.79					
323	3.640224392	5.44	0.612993034	0.000	294.778	293.846	293.039	292.513	18.925	18.268	358.3499514	64.04925694	325.3090278	422.0388889	294.55	292.42	292.59	78.61	77.42	3.497	4.188	3.25	-14.60					
